_id,id,type
1,id,text
2,address_number,text
3,street,text
4,common_name,text
5,scientific_name,text
6,height,float
7,width,float
8,growth_space_length,float
9,growth_space_width,float
10,growth_space_type,text
11,stems,int
12,overhead_utilities,text
13,land_use,text
14,condition,text
15,stormwater_benefits_dollar_value,float
16,stormwater_benefits_runoff_elim,float
17,property_value_benefits_dollarvalue,float
18,property_value_benefits_leaf_surface_area,float
19,energy_benefits_electricity_dollar_value,float
20,energy_benefits_gas_dollar_value,float
21,air_quality_benfits_o3dep_dollar_value,float
22,air_quality_benfits_o3dep_lbs,float
23,air_quality_benfits_vocavd_dollar_value,float
24,air_quality_benfits_vocavd_lbs,float
25,air_quality_benfits_no2dep_dollar_value,float
26,air_quality_benfits_no2dep_lbs,float
27,air_quality_benfits_no2avd_dollar_value,float
28,air_quality_benfits_no2avd_lbs,float
29,air_quality_benfits_so2dep_dollar_value,float
30,air_quality_benfits_so2dep_lbs,float
31,air_quality_benfits_so2avd_dollar_value,float
32,air_quality_benfits_so2avd_lbs,float
33,air_quality_benfits_pm10depdollar_value,float
34,air_quality_benfits_pm10dep_lbs,float
35,air_quality_benfits_pm10avd_dollar_value,float
36,air_quality_benfits_pm10avd_lbs,float
37,air_quality_benfits_total_dollar_value,float
38,air_quality_benfits_total_lbs,float
39,co2_benefits_dollar_value,float
40,co2_benefits_sequestered_lbs,float
41,co2_benefits_sequestered_value,float
42,co2_benefits_avoided_lbs,float
43,co2_benefits_avoided_value,float
44,co2_benefits_decomp_lbs,float
45,co2_benefits_maint_lbs,float
46,co2_benefits_totalco2_lbs,float
47,overall_benefits_dollar_value,float
48,neighborhood,text
49,council_district,text
50,ward,text
51,tract,text
52,public_works_division,text
53,pli_division,text
54,police_zone,text
55,fire_zone,text
56,latitude,float
57,longitude,float
58,diameter_base_height,float
